"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"SSNT","SilverSun Technologies Inc","305471098","-504.4","81.708","99.8","97.642","47.68136","2.501845","10.30205","52.94599","81.708","59","78.69","33.37",""
"CADL","Candel Therapeutics Inc","203004955","93.65","81.347","99.8","95.92","48.32126","50","3.28339","83.78741","81.347","6.01","6.7","11.48",""
"IPX","IperionX Limited American Depositary Share","17786","12.3","80.56","95.7905","95.197","50.69117","27.4882","54.06854","49.10711","80.56","14.99","14.84","-1",""
"SLNO","Soleno Therapeutics Inc","375205","57.3","80.513","99.8","91.6","50.13846","46.47224","73.51387","53.35171","80.513","46.43","48.48","4.42",""
"APM","Aptorum Group Ltd Class A","426839933","72.1","80.173","99.8","99.344","41.37604","26.923075","0","85.79405","80.173","3.446","3.63","5.34",""
"LBPH","Longboard Pharmaceuticals Inc","7424","55.4","80.035","99.8","89.353","50.95344","100","98.88108","63.69647","80.035","36.1","37.4","3.6",""
"SERA","Sera Prognostics Inc","8435938","-104.5","79.948","99.8","92.106","47.93792","0","1.12627","39.28351","79.948","7.83","8.43","7.66",""
"TIO","Tingo Group Inc.","18172581","100","79.791","99.8","97.026","42.54558","80.9603","95.36466","45.20955","79.791","0.0157","0.0132","-15.92",""
"RGS","Regis Corporation","69907504","96.25","79.734","99.8","98.817","40.58635","100","97.78915","71.22521","79.734","28","33.75","20.54",""
"VVOS","Vivos TherapeuticsInc","103926817","-13","79.609","99.8","97.805","41.22198","50","46.01582","32.89664","79.609","2.54","2.4","-5.51",""
"BDTX","Black Diamond Therapeutics Inc","14443794268","20.65","79.546","99.8","92.818","46.02119","24.002385","48.66284","55.6548","79.546","5.77","6.2","7.45",""
"SEV","Sono Group NV","6811900","-4551.65","79.499","99.8","96.566","42.13057","93.635695","52.91462","60.65385","79.499","0.03","0.0334","11.33",""
"ELYM","Eliem Therapeutics Inc","45306","56.2","79.261","99.8","94.132","43.85232","50","81.45357","85.64955","79.261","7.75","8.65","11.61",""
"LUCY","Innovative Eyewear Inc.","951993128","-253.95","79.125","99.8","97.519","40.05519","61.611465","53.7465","76.94202","79.125","5.49","5.24","-4.55",""
"TPST","Tempest Therapeutics Inc","5642732","83.95","79.124","99.8","94.351","43.22247","0","0","51.7568","79.124","1.93","1.7","-11.92",""
"NXTP","Nextplay Technologies Inc","2064593","-81","78.857","99.8","98.525","38.24678","50","0.07909","22.29517","78.857","0.0023","0.0013","-43.48",""
"SMMT","Summit Therapeutics PLC","41938223","-476.75","78.845","99.8","86.372","50.36216","84.653445","100","74.68757","78.845","8.89","11.55","29.92",""
"KOSS","Koss Corporation","296812","100","78.566","99.8","94.479","41.41907","69.27542","100","84.89516","78.566","9.14","9.42","3.06",""
"EBS","Emergent Biosolutions Inc","33964760","51","77.54","99.8","86.62","46.19857","54.05579","100","82.72035","77.54","11.12","13.97","25.63",""
"BVS","Bioventus Inc","567487110","-7.85","77.445","99.8","81.57","50.96625","53.42506","100","66.97433","77.445","7.18","7.47","4.04",""
"FEMY","Femasys Inc","1366199","-36.85","77.297","99.8","90.14","41.95235","25.73896","0.11908","39.8492","77.297","1.09","1.14","4.59",""
"MESO","Mesoblast Ltd","6978694","91.4","77.289","88.4778","97.233","46.15744","48.424075","90.40457","79.24132","77.289","7.5","7.4","-1.33",""
"HUDI","Huadi International Group Co Ltd","657116754","97.05","77.135","94.0958","96.443","40.86721","0","8.37995","70.4789","77.135","2.45","3.05","24.49",""
"PHVS","Pharvaris BV","3643579","67.15","76.833","84.6266","95.493","50.37961","29.296615","0","51.11808","76.833","18.38","17.4","-5.33",""
"BRFH","Barfresh Food Group Inc","119987","36.5","76.759","95.0492","90.714","44.5148","100","100","75.90456","76.759","4.04","3.35","-17.08",""
"ZJYL","JIN MEDICAL INTERNATIONAL LTD. Ordinary Shares","273553","100","76.729","99.8","81.89","48.49763","67.848185","29.27383","46.42866","76.729","3.18","3.18","0",""
"CCCC","C4 TherapeuticsInc","19841667","100","76.568","96.8948","88.191","44.6169","38.084035","26.94705","42.77053","76.568","6.09","6.5","6.73",""
"ADSE","Ads Tec Energy PLC","27899562","30.2","76.534","99.8","83.132","46.67061","89.88146","98.41101","67.96277","76.534","12.31","12.43","0.97",""
"MLGO","MicroAlgo Inc.","8218575","-360.15","76.524","99.8","92.733","37.03966","84.70855","78.02092","82.80609","76.524","2.92","1.69","-42.12",""
"NXL","Nexalin Technology Inc.","7422944","100","76.334","92.4499","95.046","41.50557","71.8374","70.01798","82.52289","76.334","1.24","1.24","0",""
"ELEV","Elevation Oncology Inc","2990370","29.9","76.255","99.8","87.749","41.21508","2.11462","0","57.35045","76.255","2.69","2.93","8.92",""
"ASTS","Ast Spacemobile Inc","2286885","-34.45","76.254","99.8","78.81","50.15225","84.66429","100","77.21182","76.254","13.12","18.84","43.6",""
"NKTX","NkartaInc","1462004","48.35","76.097","88.3912","93.701","46.19857","45.974605","16.10192","48.86889","76.097","6.3","7.04","11.75",""
"VRCA","Verrica Pharmaceuticals Inc","163916902","100","76.033","83.8908","93.874","50.33457","50","40.07264","55.16065","76.033","7.11","7.24","1.83",""
"FEIM","Frequency Electronics Inc","61327421","33.5","75.98","99.8","82.448","45.69251","50","62.7849","81.17167","75.98","9.5","13.84","45.68",""
"RDW","Redwire Corp","35336056","49.85","75.846","99.8","76.728","51.00961","98.100805","100","65.97589","75.846","6.78","7.24","6.78",""
"ABIO","ARCA Biopharma Inc","1392064","23.9","75.762","89.0126","97.046","41.22789","59.70088","65.71983","79.10535","75.762","3.22","3.14","-2.48",""
"PRFX","PainreformLtd","49020460","94.9","75.699","99.8","86.729","40.56932","31.968855","0","77.56296","75.699","0.515","0.413","-19.81",""
"BBIG","Vinco Ventures Inc","1264108","100","75.688","99.8","91.219","36.0462","44.63991","15.55889","76.62227","75.688","0.0015","0.0015","0",""
"TISI","Team Inc","26920238","22.45","75.513","82.4372","93.276","50.82434","87.53292","100","63.51407","75.513","9.53","9.91","3.99",""
"CXAI","CXApp Inc.","79071422","100","75.417","92.6268","94.132","39.49269","28.87214","0","85.54969","75.417","2.17","2.25","3.69",""
"MSGM","Motorsport Gaming Us LLC","26483983","-4.4","75.354","86.6645","97.845","41.55112","32.77517","3.47765","80.88987","75.354","2.23","2.005","-10.09",""
"IDN","Intellicheck Mobilisa Inc","74831379","47.6","75.28","83.041","95.767","47.03326","67.706195","70.75686","83.82581","75.28","3.2","3.1","-3.13",""
"TNGX","Tango Therapeutics Inc","28037801","44.65","75.252","88.1754","88.425","49.15595","100","100","57.36596","75.252","9.31","9.75","4.73",""
"FENG","Phoenix New Media Limited","1167995487","99.6","75.16","92.1796","91.312","41.98965","100","100","79.34448","75.16","3.64","3.37","-7.42",""
"IPW","iPower Inc","628892","-56.05","75.11","93.8533","86.256","45.22198","55.382225","98.29037","72.38895","75.11","1.76","1.66","-5.68",""
"PSNL","Personalis Inc","113407","-107.65","75.039","95.3122","86.817","42.98891","85.42244","86.19626","79.49385","75.039","3.41","3.45","1.17",""
"ALBT","Avalon GloboCare Corp.","173918","-56.65","74.969","85.3266","99.785","39.79601","74.91419","98.7088","75.8868","74.969","0.4","0.405","1.25",""
"JAN","Janone Inc","1165064","43.95","74.943","89.5276","90.469","44.83148","24.54494","0","43.23972","74.943","2.03","2.01","-0.99",""
"HOLO","MicroCloud Hologram Inc.","776060","-66.75","74.942","99.8","85.966","39.05888","0","0","50.42127","74.942","0.558","0.492","-11.83",""
"REAX","Real Brokerage Inc","39498","66.5","74.652","99.8","74","50.15521","55.363385","83.83683","71.60899","74.652","5.8","5.81","0.17",""
"JANX","Janux Therapeutics Inc","1259058","23.35","74.603","99.8","76.915","47.09337","26.1811","0.76288","53.2167","74.603","45.07","43.99","-2.4",""
"BYSI","BeyondSpring Inc","19697413","35.7","74.442","86.9068","88.817","47.60286","29.919185","14.96969","46.37073","74.442","2.25","1.965","-12.67",""
"GSIT","GSI Technology Inc","160910","50.3","74.322","83.8274","95.906","43.23232","38.399375","7.76044","64.08212","74.322","2.78","2.85","2.52",""
"TCRX","Tscan Therapeutics Inc","51715","39.05","74.169","93.514","80.34","48.6533","12.25674","5.98683","46.35078","74.169","6.92","7.27","5.06",""
"MNMD","Mind MedicineInc","2116633","-6.1","74.112","99.8","74.438","48.09855","22.98073","14.60156","56.90963","74.112","8.05","9.4","16.77",""
"USM","United States Cellular Corporation","1829155473","6.25","74.054","97.2486","75.773","49.14117","61.804945","100","59.64356","74.054","56.81","52.2","-8.11",""
"GRMN","Garmin Ltd","2850616","21.1","74.026","99.8","66.931","55.34664","50","100","57.48429","74.026","170.38","177.94","4.44",""
"SILO","Silo Pharma Inc","216999","64.55","73.893","80.5783","92.567","48.53314","35.114795","33.85768","82.46382","73.893","2.53","2.32","-8.3",""
