[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta
AMD	7.249	99.8	74.09	96.8	86.87	5	2.01
CECO	5.217	99.8	82.38	93.43	86.35	5	1.47
COSM	4.225	99.8	85.18	94.15	85.34	5	1.69
AWI	4.325	99.8	80.32	95.76	84.4	0	1.22
CLS	5.903	99.8	81.07	93.17	83.36	0	2.5
CSGP	6.02	99.8	73.71	94.26	82.62	5	1.3
COHR	3.288	99.8	68.33	86.51	82.38	5	2.6
XGN	2.701	96.327	78.43	87.55	79.43	5	1.52
SANM	4.39	99.8	78.24	91.34	79.28	0	1.73
TTMI	4.383	99.8	68.58	87.02	78.87	5	2.83
EVAX	1.879	86.792	61.91	82.5	78.64	5	2.78
NMRK	3.981	99.8	79.52	90.09	78.59	5	2.63
MCVT	28.743	99.8	88.04	80.19	78.42	5	4.29
ANET	1.927	87.358	70.39	78.41	78.04	5	3.17
EME	5.949	99.8	71.37	79.21	77.5	5	1.26
KALA	3.435	99.8	81.64	87.29	77.09	5	4.86
FTCI	2.197	90.484	74.22	81.02	76.96	5	3.49
TEL	6.859	99.8	62.18	86.45	76.93	5	1.74
GLW	6.898	99.8	79.54	89.21	76.76	5	1.37
AVGO	2.643	95.657	62.01	76.56	76.12	5	1.29
