"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"a","Agilent Technologies Inc","210313134","44.285","60.8335","19.6","52.677","51.33333","37.65143","49.76298","51.09332",""
"AA","Alcoa Corp","204490973","70.639","66.0669","86","48.035","48.44444","97.11035","100","51.70658",""
"AACG","ATA Inc","53593","66.295","67.9152","26.9","67.017","41.33333","100","100","60.90158",""
"AADI","Aadi Bioscience Inc","238426","54.062","50.3846","62.4","49.216","45.77778","60.39377","100","49.86771",""
"AAL","American Airlines Group","434361323","71.485","62.8919","90.15","46.946","48.22222","100","100","52.18419",""
"AAME","Atlantic American Corporation","8079","55.986","60.7117","66.5","41.768","41.96429","72.254655","93.2192","43.22876",""
"AAOI","Applied Opt","50941534","75.099","99.8","100","67.557","49.77778","71.9112","100","64.73255",""
"AAON","AAON Inc","42605819","80.382","99.8","87.05","56.383","56.88889","100","100","62.55365",""
"AAP","Advance Auto Parts Inc","108190612","30.029","43.1406","28.65","41.382","46.88889","45.846135","0","41.83324",""
"aapl","Apple Inc","11374628567","69.312","94.2581","51.45","58.71","54.44444","88.85502","90.15807","58.45343",""
"AAT","American Assets Trust Inc","6288398","51.619","67.839","42.15","42.009","50","50","100","59.3353",""
"AATC","Autoscope Technologies Corp","45902","50.375","86.6748","16.55","58.527","46.7706","50","88.86998","55.22986",""
"ABBV","AbbVie Inc","954189890","44.164","83.7045","-9","53.067","53.55556","50","73.21791","54.60143",""
"ABCL","Abcellera BiologicsInc","5178325","36.979","35.2568","14.45","47.921","43.55556","60.025725","48.83231","48.78276",""
"ABEO","Abeona Therapeutics Inc","1458329","66.57","85.1348","38.7","54.722","47.11111","89.785525","100","60.7476",""
"ABG","Asbury Automotive Group Inc","51592368","51.154","74.8568","75.55","49.929","52","50","51.65736","54.08743",""
"ABM","ABM Industries Incorporated","30399415","50.127","75.9514","49.2","51.08","52.22222","50","64.46184","57.97359",""
"ABNB","AirbnbInc","556836535","61.427","73.4101","64.5","61.322","51.55556","65.279275","97.66779","50.97401",""
"ABOS","Acumen Pharmaceuticals Inc","489788","54.825","68.398","100","32.342","44.44444","63.50825","53.67396","57.90271",""
"ABSI","Absci Corp","3540046","59.906","81.7054","100","51.738","48","31.00008","40.51224","59.38944",""
"ABT","Abbott Laboratories","595685764","48.897","69.9953","11","53.912","50.44444","50","98.81401","58.11387",""
"ABUS","Arbutus Biopharma Corp","4577482","49.405","78.0114","33.7","68.784","46.22222","38.89309","42.65715","54.24681",""
"ABVC","ABVC Biopharma Inc","107317","40.361","48.087","14.05","15.054","39.77778","6.4837","12.07489","66.44727",""
"AC","Associated Capital Group Inc","287105","69.937","65.0785","52.3","51.53","51.77778","100","100","68.87151",""
"ACA","Arcosa Inc","23336162","71.037","90.8315","81.65","52.221","53.11111","79.494205","100","60.45779",""
"ACAD","ACADIA Pharmaceuticals Inc","20745702","52.01","69.2128","86.35","58.123","46.88889","35.255445","10.77964","63.22456",""
"ACB","Aurora Cannabis Inc","5314920","36.192","66.3923","-33.85","79.375","42.66667","31.15471","5.41562","55.65227",""
"ACCD","AccoladeInc","5035485","50.379","54.7259","98.75","39.375","46.88889","21.709895","0.52059","55.81141",""
"ACCO","Acco Brands Corporation","3252252","51.359","67.5304","68.6","47.663","49.11111","50","68.56362","58.04226",""
"ACEL","Accel Entertainment Inc","2040311","50.996","77.8087","51.8","50.493","52.44444","50","62.90221","61.52019",""
"ACET","Adicet Bio Inc","604760","44.031","52.0125","86.65","46.906","44.88889","46.3936","15.88838","54.6612",""
"ACGL","Arch Capital Group Ltd","193074017","53.532","87.8818","82","47.837","55.33333","50","49.75612","51.9161",""
"ACHC","Acadia Healthcare Company Inc","98214218","54.307","48.8682","100","40.159","48.22222","0","0","42.89758",""
"ACHR","Archer Aviation Inc","41488685","41.096","84.5132","39.85","54.508","45.77778","47.796975","8.58936","50.02457",""
"ACHV","Achieve Life Sciences Inc","477514","63.179","70.4065","45.65","42.193","48.88889","91.75041","99.58883","52.02176",""
"ACI","Albertsons Companies","65492229","39.176","56.1868","33","45.074","48","31.08982","2.98713","51.16319",""
"ACIU","AC Immune Ltd","301028","56.684","86.3198","42.8","94.278","44.22222","15.68054","13.46963","47.05812",""
"ACIW","ACI Worldwide Inc","34907885","66.613","99.8","84","62.883","52.66667","50","99.67464","67.26915",""
"ACLS","Axcelis Technologies Inc","62014545","46.735","62.5971","97.95","46.065","46.66667","32.222335","0","38.31205",""
"ACLX","Arcellx Inc","48670314","69.32","99.8","100","57.729","50.66667","56.78302","100","63.47617",""
"ACM","Aecom Technology Corporation","77992243","62.449","81.776","47.05","55.245","54.22222","67.38388","100","64.08211",""
"ACMR","Acm Research Inc","28572390","69.609","84.8615","100","51.654","46.88889","75.896635","96.85048","55.21798",""
"ACN","Accenture plc","865906853","62.164","79.1948","45.4","49.885","52.88889","76.129265","98.16187","57.35929",""
"ACNB","ACNB Corporation","730574","66.779","77.455","100","57.461","49.33333","66.617365","100","49.96641",""
"ACNT","Synalloy Corporation","602248","18.497","63.9138","-56.65","21.45","45.77778","36.926675","0.32514","28.51407",""
"ACON","Aclarion Inc","104693","43.298","48.6571","100","70.484","37.33333","50","3.1149","43.49628",""
"ACRS","Aclaris Therapeutics Inc","983990","63.922","63.3724","33.65","48.888","48.66667","90.68632","92.68382","78.8185",""
"ACRV","Acrivon Therapeutics Inc. Common Stock","769362","50.762","69.8246","100","27.982","47.11111","30.638685","23.65165","48.04353",""
"ACST","Acasti Pharma Inc","119655","54.346","65.3486","-49.6","75.321","41.77778","95.813355","100","55.94745",""
"ACTG","Acacia Research Corporation","1308972","44.461","71.4402","79.6","43.542","45.33333","44.36142","9.92032","50.11624",""
"ACVA","ACV Auctions Inc","25173581","58.892","97.5738","100","58.971","50.44444","50","45.06571","60.18684",""
"ACXP","Acurx Pharmaceuticals LLC","81505","51.617","65.2756","36.4","74.732","42","7.04151","3.04822","53.94609",""
"ADAG","Adagene Inc","185704","57.41","80.5446","63.1","72.684","44.19643","57.961265","54.39918","71.02119",""
"ADAP","Adaptimmune Therapeutics plc","941560","43.093","60.7889","11.8","47.744","40.22222","0","0","41.09886",""
"ADBE","Adobe Systems Incorporated","1580261743","53.337","77.5899","66.4","47.825","50.44444","5.240105","0","41.5804",""
"ADCT","ADC Therapeutics SA","1100946","54.314","71.2562","84.25","64.947","43.11111","54.131975","52.01486","56.35264",""
"ADD","Color Star Technology Co. Ltd.","1450188","44.279","64.1772","100","46.362","39.77778","50","9.04111","50.59599",""
"ADEA","ADEIA CORP","5021198","63.345","69.2885","100","48.295","50.55679","60.96062","93.97451","59.37995",""
"ADI","Analog Devices Inc","596054061","63.943","80.3108","77.4","52.872","51.55556","73.737025","88.25562","49.73263",""
"ADIL","Adial Pharmaceuticals Inc","117732","46.829","64.3836","47.25","68.005","35.11111","50","40.16208","72.88842",""
"ADM","Archer-Daniels-Midland Company","166915956","39.189","52.9093","17.1","38.626","50.88889","12.564355","0","39.92419",""
"ADMA","ADMA Biologics Inc","111177286","61.271","99.8","86.5","54.28","50.66667","50","75.89438","61.75763",""
"ADNT","Adient plc","34909747","33.172","43.5809","42.2","47.217","49.33333","50","5.53535","44.33528",""
"ADP","Automatic Data Processing Inc","457209579","55.599","84.947","38.85","47.938","53.55556","50","100","63.89929",""
"ADPT","Adaptive Biotechnologies Corp","5142686","68.337","65.1922","100","53.018","47.33333","78.61562","96.86324","58.72091",""
"ADSE","Ads Tec Energy PLC","1530950","63.51","99.8","-33.45","76.044","46.44444","100","100","55.73326",""
"ADSK","Autodesk Inc","350058929","69.88","81.3481","70.7","49.068","54.44444","84.32281","100","64.95646",""
"ADT","ADT Inc","51161194","50.227","65.9792","57.5","53.395","51.33333","34.00776","45.80578","45.59439",""
"ADTN","ADTRAN Inc","3185817","68.474","55.7127","100","55.118","48.44444","79.0779","100","61.88516",""
"ADTX","Aditxt Inc.","4779600","27.256","30.2","-55.25","4.067","35.77778","0","0","75.99459",""
"ADUS","Addus HomeCare Corporation","16166455","48.729","72.1585","59.2","45.034","51.77778","48.63439","55.03825","55.1607",""
"ADV","Advantage Solutions Inc","2085091","61.464","79.4734","93.85","54.132","47.33333","0","3.82169","51.63755",""
"ADVM","Adverum Biotechnologies Inc","1409490","70.55","77.449","100","52.431","48","85.110155","90.11487","55.63616",""
"ADXN","Addex Therapeutics Ltd","331242","55.429","70.1275","70.35","16.194","48.08989","54.21056","99.98095","74.84151",""
"AEE","Ameren Corp","124188481","44.706","67.826","-10.2","44.859","50.22222","51.68672","100","56.86186",""
"AEHR","Aehr Test Systems","18382065","53.835","57.1303","100","48.903","44.88889","61.24969","43.01747","60.40278",""
"AEI","Alset Ehome International Inc","69385","52.354","66.5559","-49.1","67.457","43.77778","90.193105","100","57.40284",""
"AEIS","Advanced Energy Industries Inc","24545715","71.174","77.0298","81.15","49.53","49.77778","95.50811","95.46952","54.24483",""
"AEM","Agnico Eagle Mines Limited","197295357","49.668","84.6837","1.1","54.616","53.33333","50","98.37035","55.57518",""
"AEMD","Aethlon Medical Inc","272185","53.15","48.6296","48.55","39.936","35.55556","17.64105","63.08584","71.57413",""
"AEO","American Eagle Outfitters Inc","79541601","46.047","73.4449","41","50.939","53.55556","43.079025","36.42778","53.1206",""
"AEP","American Electric Power Company Inc","283926961","33.693","68.1174","-23.75","50.376","50","50","38.16627","52.93922",""
"AES","The AES Corporation","184076336","28.89","46.5993","-42.85","40.342","48.66667","35.163155","30.19488","49.60654",""
"AESI","Atlas Energy Solutions Inc.","19556181","49.399","75.4486","49.45","45.49","52.73159","39.06522","45.01817","55.78821",""
"AEVA","Aeva Technologies Inc","891445","74.871","66.3317","100","52.624","47.11111","100","100","58.02746",""
"AEYE","AudioEye Inc","3469627","77.604","99.8","100","65.471","48.22222","90.54462","87.80063","60.84421",""
"AFCG","AFC Gamma Inc","1870806","40.718","64.036","28.55","41.538","49.77778","50","48.13333","52.99241",""
"AFG","American Financial Group Inc","43311276","49.631","65.4529","52.95","46.941","53.55556","50","69.49669","59.01985",""
"AFGB","American Financial Group Inc","170171","41.009","65.5843","-3.5","46.629","49.88864","50","80.94599","47.51725",""
"AFGC","American Financial Group Inc","141319","48.45","65.8086","8.35","57.674","51.33333","50","99.17533","56.80763",""
"AFGD","American Financial Group Inc","207657","56.835","67.3223","3.5","52.39","48.22222","84.947725","98.13801","58.37966",""
"AFGE","American Financial Group AFGE","444495","42.629","66.2883","5.9","46.59","49.11111","50.32849","81.44793","48.41016",""
"AFIB","Acutus MedicalInc","27009","68.441","63.5909","48.35","74.403","40.22222","100","99.44806","53.07427",""
"AFL","Aflac Incorporated","252300596","54.401","85.7899","46.55","49.186","57.55556","50","87.33784","54.38579",""
"AFMD","Affimed NV","316727","50.103","55.9435","65","92.556","40.44444","27.412295","2.35701","49.24178",""
"AFRI","Forafric Global PLC Ordinary Shares","88110","48.856","66.3261","48.9","37.752","47.88419","6.092625","4.77656","48.53991",""
"AFYA","Afya Ltd","2191050","39.981","73.6212","9.1","53.225","48","41.438445","29.28383","49.51661",""
"AG","First Majestic Silver Corp","71674577","64.517","66.5861","49.3","48.334","46","93.107065","100","55.18721",""
"AGAE","Allied Gaming & Entertainment Inc.","44300","47.603","75.1403","12.1","73.493","42.22222","24.17012","8.08462","70.51772",""
"AGCO","AGCO Corporation","72541965","52.402","49.6131","25.9","43.276","51.55556","74.23816","95.40161","52.58812",""
"AGEN","Agenus Inc","1800805","44.704","49.3076","100","49.504","44.44444","33.27782","0","36.22936",""
"AGFY","AgrifyCorp","2314776","45.064","49.1847","100","6.179","39.77778","42.601615","30.36415","75.1437",""
"AGI","Alamos Gold Inc","51316677","53.341","92.455","20.55","55.354","52.88889","50","96.64399","55.49638",""
"AGIO","Agios Pharm","26947457","67.31","98.3275","100","63.352","49.11111","20.97817","48.08967","54.24689",""
"AGL","agilon health Inc","15296174","32.322","37.5806","38.6","49.345","45.77778","43.32682","0","41.60255",""
"AGM","Federal Agricultural Mortgage","8630993","56.921","86.5345","100","50.782","53.11111","57.724455","46.22077","46.35047",""
"AGNC","AGNC Investment Corp","198671572","43.881","57.7057","24.85","45.203","50.66667","22.474705","23.97364","49.71946",""
"AGO","Assured Guaranty Ltd","28320981","74.375","83.8021","76.35","50.236","54","98.242645","100","59.7507",""
"AGR","Avangrid Inc","25266867","41.236","57.7305","0.7","49.59","48","19.782985","20.97892","51.21731",""
"AGRI","AgriFORCE Growing Systems Ltd","1620866","39.308","30.2","100","39.771","33.11111","50","5.84779","66.2237",""
"AGRO","Adecoagro SA","8308380","53.331","80.293","14.1","57.868","52","50","100","69.05908",""
"AGS","PlayAGS Inc","2274773","62.123","86.2162","2.5","48.514","49.33333","100","100","48.29443",""
"AGX","Argan Inc","37471076","83.764","99.8","100","59.669","55.55556","100","100","71.32514",""
"AGYS","Agilysys Inc","23964180","72.464","81.701","100","53.058","51.55556","94.073525","72.86272","59.92102",""
"AHCO","Adapthealth Corp","10693532","50.06","59.0542","88.8","45.624","46.88889","32.78994","28.422","47.21098",""
"AHG","Akso Health Group DRC","12992","55.358","94.1543","-13.45","87.907","42.66667","20.219905","39.55608","77.11449",""
"AHH","Armada Hflr Pr","7563930","47.029","61.6329","21.5","44.462","50.66667","0","0","50.94414",""
"AHT","Ashford Hospitality Trust Inc","300963","38.077","32.7146","-0.7","48.606","34.88889","0","1.98484","49.04552",""
"AI","C3 Ai Inc","79762230","66.395","82.914","100","60.249","49.55556","69.612635","80.49092","52.32988",""
"AIG","American International Group Inc","305864344","58.129","74.5333","38.5","46.901","54.88889","77.211185","86.61715","51.0424",""
"AIHS","Senmiao Technology Ltd","129943","36.064","75.512","-27.05","75.15","42.88889","41.073415","12.31934","55.77788",""
"AIMD","Ainos Inc","246768","42.198","59.1776","69.35","12.539","39.55556","32.835735","0.38969","80.04369",""
"AIN","Albany International Corporation","17497179","57.357","56.3393","100","45.385","50.44444","0","0.2721","49.05653",""
"AIO","Virtus AllianzGI Artificial Intell & Tech Opps","1610448","68.538","88.8731","32.3","46.578","54.44444","98.16209","100","61.24356",""
"AIP","Arteris Inc","692605","58.869","79.2861","100","59.861","44.22222","20.11791","23.51116","45.43498",""
"AIR","AAR Corp","20978275","49.304","77.1774","86.9","45.862","51.33333","36.35201","5.73501","50.82397",""
"AIRG","Airgain Inc","335535","68.63","74.9014","43.5","50.786","48","100","100","63.22252",""
"AIRS","Airsculpt Technologies Inc","758547","80.711","81.6479","100","64.974","48.88889","99.748395","100","69.97215",""
"AIRT","Air T Inc","399462","45.72","61.6629","38.4","48.806","45.27027","10.86628","0","47.63184",""
"AIT","Applied Industrial Technologies","54671363","81.487","99.8","100","55.291","54.88889","100","100","60.42844",""
"AIV","Apartment Investment and Management Co","8157682","45.622","73.6492","25.65","52.973","46.88889","18.41651","5.14224","51.88255",""
"AIXI","XIAO-I Corporation American Depositary Shares","1169721","61.201","53.1542","54.25","61.288","41.09264","77.231015","99.27991","64.88219",""
"AIZ","Assurant Inc","63216103","62.274","94.9968","70.45","52.38","55.77778","50","97.83855","64.47699",""
"AIZN","Assurant Inc","202183","47.613","66.1489","9","47.802","50.22222","50","98.15023","61.96589",""
"AJG","Arthur J Gallagher & Co","264182180","47.427","91.5475","20.55","48.436","56.44444","50","54.3626","60.65029",""
"AJX","Great Ajax Corp","407300","36.302","48.0304","27.45","39.129","43.77778","23.422605","0","42.57187",""
"AKAM","Akamai Technologies Inc","155751236","56.031","67.3506","53.6","42.98","52.44444","70.74603","87.74154","46.60665",""
