[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta
MLGO	-3.796	30.2	22.14	14.9	16.73	5	-0.08
DRIO	-1.51	47.488	15.78	20.12	18.54	5	0.89
SSKN	-1.846	43.584	30.28	16.88	20.59	5	-1.59
CMMB	-2.301	38.313	31.83	14.26	20.66	5	1.26
ORGS	-2.09	40.754	34.26	14.05	21.2	5	-1.48
PRVA	-1.894	43.034	27.34	17.02	22.94	5	1.48
LTRY	-2.532	35.633	29.32	14.21	23.19	5	0.26
AQMS	-2.293	38.402	25.91	18.26	23.66	5	3.15
QLGN	-1.56	46.9	21.71	23.35	23.78	5	-0.3
MLEC	-3.387	30.2	22.76	16.54	23.86	5	3.07
ATER	-1.909	42.858	28.32	18.99	23.89	5	3.66
AIXI	-2.657	34.177	26.29	20.7	23.99	5	2.63
SOTK	-1.555	46.966	28.49	19.62	24.08	5	0.24
TKC	-1.557	46.938	31.34	19.77	24.52	5	2.13
BCRX	-3.617	30.2	27.58	15.5	24.76	5	0.86
CHEK	-1.788	44.256	27.0	21.15	24.82	5	-0.55
JAGX	-2.807	32.436	29.89	15.83	25.08	5	2.6
AJG	-1.598	46.468	22.09	25.1	25.3	5	0.91
RHI	-1.77	44.472	34.02	24.72	25.35	0	2.08
VMEO	-1.827	43.811	34.41	23.99	25.38	5	0.95
