[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta	OutlierPC	CloseToSMA6Ratio	UltraShortTerm_Score
a	1.203	78.955	57.64	36.03	49.72	0	1.8	54.04	1.005	54.592
AA	0.962	76.156	52.94	49.39	45.53	0	2.01	47.28	0.972	45.104
AACG	2.82	97.708	81.86	70.77	67.69	5	-0.39	86.43	1.165	87.848
AAL	0.253	67.938	42.37	38.98	45.85	5	3.45	31.96	0.963	34.776
AAME	2.765	97.077	60.68	46.72	57.51	5	1.65	53.65	0.997	59.071
AAON	-0.794	55.795	54.28	36.7	44.46	0	1.61	69.73	1.015	44.524
AAP	0.976	76.324	46.7	36.69	45.96	5	-0.33	43.38	0.934	45.116
aapl	1.917	87.237	50.83	43.13	46.5	0	0.84	47.19	0.989	34.583
AAT	1.575	83.273	56.7	34.7	44.47	5	0.98	49.04	1.008	66.478
AATC	-0.097	63.87	47.97	39.67	42.38	5	-0.93	32.15	0.985	46.995
ABBV	0.944	75.955	64.78	34.17	52.13	5	0.94	64.29	1.008	61.839
ABCL	8.181	99.8	48.09	36.57	52.6	5	1.28	59.47	0.949	22.367
ABEO	0.795	74.223	63.91	38.57	56.36	5	1.16	68.79	1.018	58.355
ABG	-0.085	64.013	35.4	47.76	42.13	5	1.76	22.97	0.95	25.469
ABM	-0.561	58.489	35.29	36.41	38.0	5	1.05	26.3	0.989	43.661
ABNB	1.185	78.743	45.88	33.59	45.56	5	1.16	41.1	0.976	23.518
ABOS	1.84	86.348	44.62	32.99	40.84	5	2.62	48.67	0.884	19.61
ABSI	0.607	72.038	44.87	37.79	37.88	5	1.98	50.68	0.909	22.643
ABT	-0.13	63.489	49.18	33.54	47.62	5	0.1	44.69	1.013	68.056
ABUS	0.441	70.115	45.87	48.96	48.79	5	1.67	69.58	1.016	29.048
ABVC	2.513	94.145	43.57	38.85	52.73	5	0.41	37.37	0.975	34.392
AC	-0.719	56.656	46.9	34.97	45.06	5	0.09	38.11	1.0	63.776
ACA	0.698	73.096	44.78	44.72	45.98	5	1.43	31.2	0.982	32.827
ACAD	0.444	70.156	48.04	49.72	52.81	5	0.6	60.24	0.988	36.633
ACB	-0.506	59.135	37.65	44.15	38.91	5	3.59	35.75	0.925	11.775
ACCO	1.659	84.249	51.16	49.41	46.6	0	2.01	52.37	0.98	22.961
ACEL	2.316	91.862	70.43	80.02	71.84	5	1.49	79.87	1.019	67.01
ACET	0.328	68.806	34.57	35.33	34.37	5	2.17	43.69	0.923	16.793
ACGL	-0.884	54.743	28.92	32.85	29.21	5	0.65	19.45	0.98	39.962
ACHC	0.018	65.208	39.15	36.69	42.38	5	1.86	36.57	0.997	27.963
ACHR	0.103	66.198	35.39	42.31	43.4	5	5.28	37.01	0.933	15.169
ACHV	-0.038	64.554	38.17	37.25	37.47	5	1.94	52.2	0.956	18.675
