"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Offset Weighted Score","Weighted Score","DeltaWeightedScore %","Price last week","Price this week","Price move %"
"XLE","Energy Select Sector SPDR Fund","1.755026973186e+13","41.75","59.679","74.9496","50.561","53.52648","41.021325","18.42777","46.05815","61.164","59.679","-2.43","79.48","80.26","0.98",""
"XLK","Technology Select Sector SPDR Fund","1001049","79.25","57.732","70.8967","53.541","48.75979","72.731475","100","52.1297","56.373","57.732","2.41","149.69","150","0.21",""
"XLP","Cinsumer Staples Select Sector SPDR Fund","543310516","23.4","57.649","72.8812","47.502","52.56467","96.03382","93.60084","55.81391","57.219","57.649","0.75","77.06","76.71","-0.45",""
"XLV","Health Care Select Sector SPDR Fund","1767071048","31.35","57.62","68.6965","53.155","51.00961","65.049525","64.29896","48.98332","57.518","57.62","0.18","134.26","132.41","-1.38",""
"XLI","Industrial Select Sector SPDR Fund","2118707560","39.15","56.78","67.9629","50.441","51.93496","15.60139","8.01517","47.48449","56.436","56.78","0.61","99.82","99.37","-0.45",""
"XLB","Materials Select Sector SPDR Fund","1306455866","44.2","55.86","65.2777","51.011","51.29244","27.69078","8.97176","52.73695","55.762","55.86","0.18","79.85","78.68","-1.47",""
"XLU","SPDR Select Sector Fund - Utili","1042885869","50","55.154","65.2807","47.863","52.31929","64.016725","63.48838","52.62987","56.104","55.154","-1.69","68.64","68.73","0.13",""
"^GSPC","S&P 500 Index","877199112","51.25","54.462","65.4066","51.313","46.66667","59.74312","92.31495","51.57324","54.07","54.462","0.72","4122.25","4119.17","-0.07",""
"XLY","Consumer Discretionary Select Sector SPD","222193027","63.65","52.637","59.9619","49.916","48.03351","50","81.26635","44.57253","52.13","52.637","0.97","145.94","147.65","1.17",""
"XLF","Financial Select Sector SPDR Fund","960443885","35.1","50.816","58.2665","46.824","47.35846","18.403675","0","54.15459","51.095","50.816","-0.55","32.37","32.26","-0.34",""
"^VIX","CBOE Volatility Index","1300819990","50","49.981","71.656","36.129","42.15718","19.942035","11.95208","46.32946","50.452","49.981","-0.93","17.82","17.71","-0.62",""
"XLRE","Real Estate Select Sector SPDR Fund","799104192","30.9","49.209","54.7013","45.104","47.82163","30.80076","0","45.81331","49.205","49.209","0.01","36.83","37.06","0.62",""
