"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","30D Max Move","2x Offset Weighted Score","DeltaWeightedScore %","Price last week","Price this week","Price move %"
"XLE","Energy Select Sector SPDR Fund","1.766822299102e+13","41.75","61.505","79.297","51.108","54.10889","5.95531","10.28547","47.25076","61.505","1.04","61.34","0.27","79.56","79.9","0.43",""
"XLK","Technology Select Sector SPDR Fund","1030603","79.25","57.441","70.0825","53.505","48.73614","63.363245","100","51.18929","57.441","13.86","55.536","3.43","160.64","166.9","3.9",""
"XLV","Health Care Select Sector SPDR Fund","545578379","31.35","57.427","68.5276","53.125","50.62823","41.245855","31.4873","47.24132","57.427","0.84","54.432","5.5","127.67","130.32","2.08",""
"XLI","Industrial Select Sector SPDR Fund","1752696961","39.15","57.271","69.2877","50.543","51.98128","8.43701","8.52893","46.86068","57.271","0.22","58.059","-1.36","97.9","100.94","3.11",""
"XLP","Cinsumer Staples Select Sector SPDR Fund","2064473494","23.4","56.725","70.8003","47.127","52.24637","78.837135","66.39978","52.34547","56.725","1.69","53.671","5.69","73.11","73.61","0.68",""
"XLB","Materials Select Sector SPDR Fund","1258843985","44.2","56.648","67.1795","51.007","51.75758","14.48785","5.67161","51.08681","56.648","0.21","56.66","-0.02","76.42","78.57","2.81",""
"XLU","SPDR Select Sector Fund - Utili","1050579413","50","55.818","66.9836","48.08","52.39024","50","34.93574","49.61445","55.818","0.59","53.404","4.52","64.49","65.12","0.98",""
"^GSPC","S&P 500 Index","851369565","51.25","54.557","65.5834","51.472","46.61542","50","67.83493","50.33122","54.557","3.84","52.886","3.16","4156.16","4282.37","3.04",""
"XLY","Consumer Discretionary Select Sector SPD","235468249","63.65","52.442","59.4729","49.825","48.02661","50","73.64267","43.19824","52.442","7.24","51.487","1.85","148.83","157","5.49",""
"XLF","Financial Select Sector SPDR Fund","944737079","35.1","52.082","60.8453","47.218","48.18231","0","0","52.84586","52.082","0.57","53.619","-2.87","31.92","32.8","2.76",""
"XLRE","Real Estate Select Sector SPDR Fund","1290536052","30.9","49.607","55.4908","45.063","48.26805","7.10764","0","46.04645","49.607","1.75","49.676","-0.14","35.38","36.81","4.04",""
"^VIX","CBOE Volatility Index","811761018","50","49.509","70.8275","36.235","41.46341","70.89517","48.46796","46.33718","49.509","21.82","50.874","-2.68","19.07","14.6","-23.44",""
