"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"XLK","Technology Select Sector SPDR Fund","2.074288006557e+13","100","71.325","99.8","54.569","59.60483","100","100","56.15675","71.325","227.14","232.88","2.53",""
"^GSPC","S&P 500 Index","649731","52","70.302","99.8","54.755","56.35181","100","100","56.77725","70.302","5488.48","5567.19","1.43",""
"XLF","Financial Select Sector SPDR Fund","348946945","15.5","66.165","92.9217","52.261","53.31264","76.049865","71.5907","54.93937","66.165","41.06","41.54","1.17",""
"XLY","Consumer Discretionary Select Sector SPD","1262515243","47.2","65.534","88.7452","51.763","56.09362","67.28886","75.08001","51.36778","65.534","183.53","189.3","3.14",""
"XLI","Industrial Select Sector SPDR Fund","1491843741","41.2","65.193","90.3161","50.657","54.60557","27.33353","13.27054","44.6816","65.193","122.16","121.22","-0.77",""
"XLB","Materials Select Sector SPDR Fund","1062338360","31.15","61.352","76.7821","52.249","55.02439","27.95155","11.98973","48.50081","61.352","88.35","87.9","-0.51",""
"XLV","Health Care Select Sector SPDR Fund","1078799606","11.75","60.511","80.9144","49.948","50.67061","68.857375","93.41728","48.3762","60.511","146.41","144.41","-1.37",""
"XLP","Cinsumer Staples Select Sector SPDR Fund","830633138","17.65","60.23","77.8767","50.991","51.82262","86.932025","99.14668","52.62107","60.23","76.91","77.38","0.61",""
"XLU","SPDR Select Sector Fund - Utili","241879498","7.7","57.374","72.0883","48.672","51.3624","63.028995","95.15249","56.23419","57.374","68.91","68.55","-0.52",""
"XLE","Energy Select Sector SPDR Fund","820404625","7.2","57.324","72.125","46.925","52.92338","23.86333","0.97783","56.39598","57.324","91.5","90.1","-1.53",""
"XLRE","Real Estate Select Sector SPDR Fund","929880222","7.75","55.948","69.8278","47.706","50.30993","50","75.32821","51.5487","55.948","38.32","38.3","-0.05",""
"^VIX","CBOE Volatility Index","540628967","-302.25","47.266","64.7634","34.103","42.93274","22.70586","0.12099","47.22934","47.266","12.24","12.48","1.96",""
