"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"^GSPC","S&P 500 Index","2.225461201856e+13","74.695","99.8","51.15","53.084","56","100","100","62.82987",""
"^VIX","CBOE Volatility Index","942117","-13.581","77.0203","-420.8","39.688","43.77778","70.777085","79.18445","44.50983",""
"XLB","Materials Select Sector SPDR Fund","394232034","57.878","75.5468","29.1","50.939","54.22222","71.893795","98.92624","52.62072",""
"XLE","Energy Select Sector SPDR Fund","1353051019","57.773","67.6305","14.15","47.948","53.55556","89.526735","85.0296","57.04114",""
"XLF","Financial Select Sector SPDR Fund","1852954463","62.343","89.1505","55.5","49.652","53.77778","63.70301","100","60.91523",""
"XLI","Industrial Select Sector SPDR Fund","1043049032","69.138","98.3908","48.4","51.097","54.44444","86.751075","100","58.13366",""
"XLK","Technology Select Sector SPDR Fund","932281553","72.995","99.8","80.35","53.231","57.55556","81.81329","100","56.39955",""
"XLP","Cinsumer Staples Select Sector SPDR Fund","800617590","40.617","77.6069","1.15","50.895","51.77778","50","49.11613","53.77082",""
"XLRE","Real Estate Select Sector SPDR Fund","220087224","45.567","71.7244","3.5","49.257","51.33333","50","85.15244","58.0011",""
"XLU","SPDR Select Sector Fund - Utili","948126374","47.106","75.9006","-2.35","48.174","52.66667","50","96.92955","58.42112",""
"XLV","Health Care Select Sector SPDR Fund","1008220721","41.632","78.5005","24.9","50.213","51.11111","40.07285","10.75785","56.08963",""
"XLY","Consumer Discretionary Select Sector SPD","540509961","66.461","91.9533","59.2","53.27","55.55556","73.22088","100","58.80627",""
