[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta	OutlierPC	CloseToSMA6Ratio	UltraShortTerm_Score
^GSPC	4.084	99.8	51.37	67.36	65.1	0	1.03	70.41	1.001	39.419
^VIX	-1.062	52.686	60.1	42.79	50.49	5	-8.01	42.27	1.029	88.067
XLB	1.806	85.949	52.18	68.64	56.17	0	1.05	44.18	0.99	54.26
XLE	2.29	91.56	74.01	40.97	60.42	0	-0.07	71.84	1.019	65.667
XLF	1.537	82.826	46.36	33.2	42.1	0	1.25	55.72	0.996	39.257
XLI	3.975	99.8	43.85	68.96	59.2	0	0.92	62.51	0.996	38.277
XLK	6.117	99.8	51.61	73.28	73.21	0	1.13	73.98	1.009	37.835
XLP	0.017	65.201	57.04	33.14	48.1	0	0.56	48.32	0.998	60.045
XLRE	1.279	79.841	75.04	40.73	54.17	0	0.48	72.2	1.002	67.135
XLU	1.539	82.849	66.56	36.83	52.6	5	0.56	69.7	1.002	64.838
XLV	1.114	77.921	55.49	45.89	46.32	0	0.77	47.31	0.994	56.583
XLY	1.622	83.812	46.91	76.97	62.93	0	1.36	65.33	0.998	40.531
