[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR
AA	0	0	0	0	0	0
AABA	0	0	0	0	0	0
AAPL	0	0	0	0	0	0
AAXN	0	0	0	0	0	0
ABAX	0	0	0	0	0	2
ABR	0	0	0	0	0	6
ACCO	0	0	0	0	0	2
AEIS	0	0	0	0	0	2
AGQ	0	0	0	0	0	0
AIT	0	0	0	0	0	2
AKAM	0	0	0	0	0	1
AKRX	0	0	0	0	0	10
ALB	0	0	0	0	0	8
ALLE	0	0	0	0	0	0
ALV	0	0	0	0	0	3
AMBA	0	0	0	0	0	0
AME	0	0	0	0	0	6
AMN	0	0	0	0	0	0
AMZN	0	0	0	0	0	0
AOBC	0	0	0	0	0	0
AOS	0	0	0	0	0	3
APH	0	0	0	0	0	3
APO	0	0	0	0	0	10
APOG	0	0	0	0	0	3
ARES	0	0	0	0	0	0
ATHM	0	0	0	0	0	0
ATR	0	0	0	0	0	8
AUO	0	0	0	0	0	3
AWI	0	0	0	0	0	2
AXE	0	0	0	0	0	5
AXL	0	0	0	0	0	2
AXP	0	0	0	0	0	0
AZZ	0	0	0	0	0	10
BA	0	0	0	0	0	0
BAX	0	0	0	0	0	1
BBY	0	0	0	0	0	4
BC	0	0	0	0	0	5
BCPC	0	0	0	0	0	4
BGS	0	0	0	0	0	10
BID	0	0	0	0	0	8
BIG	0	0	0	0	0	3
BMS	0	0	0	0	0	4
BRC	0	0	0	0	0	7
BWXT	0	0	0	0	0	2
CAA	0	0	0	0	0	0
CAE	0	0	0	0	0	1
CAG	0	0	0	0	0	6
CAT	0	0	0	0	0	0
CBM	0	0	0	0	0	6
CBOE	0	0	0	0	0	7
CBT	0	0	0	0	0	3
CC	0	0	0	0	0	1
CCU	0	0	0	0	0	8
CDK	0	0	0	0	0	2
CE	0	0	0	0	0	3
CELG	0	0	0	0	0	2
CENT	0	0	0	0	0	0
CERN	0	0	0	0	0	3
CG	0	0	0	0	0	0
CGNX	0	0	0	0	0	9
CHKP	0	0	0	0	0	10
CHS	0	0	0	0	0	1
CHT	0	0	0	0	0	7
CIEN	0	0	0	0	0	8
CLS	0	0	0	0	0	7
CMD	0	0	0	0	0	0
CMP	0	0	0	0	0	9
CNK	0	0	0	0	0	2
CNS	0	0	0	0	0	5
COH	0	0	0	0	0	0
COL	0	0	0	0	0	0
COLM	0	0	0	0	0	8
COMM	0	0	0	0	0	2
CORT	0	0	0	0	0	4
CPRT	0	0	0	0	0	2
CPS	0	0	0	0	0	0
CR	0	0	0	0	0	5
CRI	0	0	0	0	0	5
CRL	0	0	0	0	0	2
CRUS	0	0	0	0	0	5
CSCO	0	0	0	0	0	5
CSTE	0	0	0	0	0	10
CTB	0	0	0	0	0	6
CTLT	0	0	0	0	0	7
CVG	0	0	0	0	0	2
CVRR	0	0	0	0	0	5
CW	0	0	0	0	0	7
CYOU	0	0	0	0	0	8
DAN	0	0	0	0	0	2
DCI	0	0	0	0	0	3
DDM	0	0	0	0	0	0
DHI	0	0	0	0	0	7
DIS	0	0	0	0	0	6
DISCA	0	0	0	0	0	6
DISCK	0	0	0	0	0	0
DISH	0	0	0	0	0	4
DLTR	0	0	0	0	0	7
DORM	0	0	0	0	0	4
DOX	0	0	0	0	0	0
DSW	0	0	0	0	0	2
DVA	0	0	0	0	0	3
DY	0	0	0	0	0	8
EA	0	0	0	0	0	0
EBIX	0	0	0	0	0	1
EDU	0	0	0	0	0	8
EGOV	0	0	0	0	0	1
EL	0	0	0	0	0	0
ELY	0	0	0	0	0	7
