"Symbol","Company Name","Wtd Sortino Score"
"STG","South Logistics JSC","86.25813823577"
"CLM","Vinacomin Coal Import Export JSC","83.29543048656"
"CTF","City Auto Corp","81.30489452671"
"TMB","Vinacomin Northern Coal Trading JSC","57.60158609248"
"DVM","Vietnam Medicinal Materials JSC","53.84916985396"
"VIP","Vietnam Petroleum Transport JSC","51.94435854243"
"VNS","Vietnam Sun Corp","50.25669999288"
"ST8","Sieu Thanh JSC","49.68091769631"
"PDN","Dong Nai Port JSC","48.85948373169"
"VPD","Viet Nam Power Development JSC","48.68576681789"
"BMP","Binh Minh Plastics JSC","48.18068771544"
"PRC","PORTSERCO","45.16151885052"
"NT2","PetroVietnam Power Nhon Trach 2 JSC","44.74600316882"
"TMT","TMT Motor JSC","42.95683630485"
"TBD","Dong Anh Electrical Equipment Manufacturing JSC","42.07716960078"
"VSH","Vinh Son Song Hinh Hydropower JSC","41.52568337089"
"NAG","NAGAKAWA VIETN","41.19092792958"
"SBA","Song Ba JSC","31.44865179784"
"DSN","Dam Sen Water Park Corp","30.94823879078"
"TBC","Thac Ba Hydropower JSC","28.45069769664"
"GMX","MY XUAN BRICK","26.14149812585"
"TVD","TVD","25.96198626773"
"TDP","Thuan Duc JSC","25.56948675913"
"SKG","Superdong Fast Ferry Kien Giang JSC","25.14404341094"
"BSI","BIDV Securities JSC","23.51318271823"
"TLG","Thien Long Group Corp","22.73122225528"
"BCM","Investment and Industrial Development Joint Stock Corp","21.25706482702"
"PGD","Petrovietnam Low Pressure Gas Distribution JSC","21.02496317268"
"BID","Joint Stock Commercial Bank for Investment and Development of Vietnam","19.84067509582"
"CHP","Central Hydropower JSC","18.58143957415"
"KDC","Kido Group Corp","17.8456822465"
"KOS","Kosy JSC","16.94769408452"
"DHG","DHG Pharmaceutical JSC","16.86130986563"
"TDM","Thu Dau Mot Water JSC","16.51675978966"
"CDC","Chuong Duong Corp","16.24728451103"
"SRC","Sao Vang Rubber JSC","15.31347725704"
"CTR","Viettel Construction JSC","13.76831923273"
"SGN","Sai Gon Ground Services JSC","13.38340450845"
"LSS","Lam Son Sugar JSC","12.99862921646"
"HHP","Hai Phong Hoang Ha Paper JSC","12.38314565493"
"CAP","Yen Bai Forest JSC","12.357225603"
"HQC","Hoang Quan Consulting Trading Service Real Estate Corp","10.78030378774"
"DNP","Dong Nai Plastic Construction JSC","10.68053453269"
"VCB","Joint Stock Commercial Bank for Foreign Trade of Vietnam","10.58505310051"
"CEO","CEO Group JSC","10.02541024598"
"SHP","Southern Hydropower JSC","9.832017385258"
"CAV","Vietnam Electric Cable Corp","9.823417787753"
"PVI","PVI Holdings","9.81995222829"
"FRT","FPT Digital Retail JSC","9.195186104339"
"S4A","Sesan 4A Hydroelectric JSC","9.15945670029"
"GMD","Gemadept Corp","9.146218543801"
"HVT","VICCO","9.119635924299"
"AST","Taseco Air Services JSC","8.479874994004"
"TMP","Thac Mo Hydropower JSC","8.016012640838"
"PLC","Petrolimex Petrochemical JSC","7.986556280858"
"PVC","Petrovietnam Drilling Mud JSC","7.927784185595"
"GKM","Khang Minh Brick JSC","6.952313808402"
"PMC","PHARMEDIC JSC","6.855490069648"
"HLD","HUDLAND Real Estate Investment and Development","6.532256259965"
"DHT","Hataphar","6.379570869425"
"ACC","ACC Binh Duong Investment and Construction JSC","5.67231523929"
"THT","Vinacomin HaTu Coal JSC","5.545417512633"
"CTD","Cotec Construction JSC","5.502907977947"
"SSB","Southeast Asia Commercial JS Bank","5.337395646705"
"NCT","NoiBai Cargo Terminal Services JSC","4.922796796826"
"VDP","Vidipha Central Pharmaceutical JSC","4.792022159322"
"STB","Sai Gon Thuong Tin Commercial Joint Stock Bank","4.42471475335"
"PC1","PC1 Group JSC","4.187828910128"
"ILB","ICD Tan Cang Long Binh JSC","4.049860574271"
"SAB","Saigon Beer Alcohol Beverage Corp","3.309504695382"
"TC6","Vinacomin Coc Sau Coal JSC","3.069943264267"
"S55","Song Da 505 JSC","2.970956278762"
"TCL","Tan Cang Logistics and Stevedoring JSC","2.807596930046"
"LCG","Licogi 16 JSC","2.656086985461"
"BIC","BIDV Insurance Corp","2.175717028373"
"DRL","Hydro Power JSC Power No3","1.899486871644"
"PGS","Petrovietnam Southern Gas JSC","1.876326179867"
"THI","Electrical Equipment JSC","1.570813467749"
"ANV","Nam Viet Corp","1.298568296794"
"CKG","Kien Giang Construction Investment Consultancy Group","1.02411669996"
"SZL","Sonadezi Long Thanh Shareholding Co","0.3684117751521"
"SMB","Sai Gon Mien Trung Beer JSC","0.1555057173144"
"EVE","Everpia Vietnam JSC","-0.07831432722185"
"BCF","Bich Chi Food Co","-0.1122310186399"
"POW","Petrovietnam Power Corp","-0.8693636114109"
"CLL","Cat Lai Port JSC","-1.07705929634"
"TRA","Traphaco JSC","-1.135931605199"
