"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"AAA.XSTC","AN PHAT PLASTIC AND GREEN ENVIRONMENT JOINT STOCK ","20415491239","351.34162","62.1342","50","56.945","46","16.092935","10.61278","57.83551",""
"ACL.XSTC","CUU LONG FISH JOINT STOCK COMPANY","1351908557","283.67549","60.8224","50","36.013","38.36735","22.801255","0","44.07525",""
"ADS.XSTC","DAMSAN JOINT STOCK COMPANY","147093782","459.87983","63.4107","50","61.056","40.83333","100","100","44.5798",""
"AGM.XSTC","AN GIANG IMPORT - EXPORT COMPANY","369376606","294.22722","76.7041","50","63.559","38.11475","41.65879","0","49.16695",""
"AGR.XSTC","AGRIBANK SECURITIES JOINT STOCK CORPORATION","3669847523","403.82665","83.1023","50","62.205","47.79116","50","100","60.72819",""
"AMD.XSTC","FLC AMD MINING AND INVESTMENT JOINT STOCK COMPANY","7528270094","428.5243","82.8851","50","43.01","46.18474","80.79823","94.75646","50.09154",""
"ANV.XSTC","NAM VIET CORPORATION","7062018155","375.52407","65.9381","50","59.601","43.2","50","100","56.78497",""
"APC.XSTC","AN PHU IRRADIATION JOINT STOCK COMPANY","568693315","305.3205","70.7571","50","53.788","40.72581","49.40765","32.07697","56.78792",""
"APG.XSTC","AN PHAT JOINT STOCK SECURITIES COMPANY","8266132038","303.237","72.2026","50","50.873","43.7751","31.92156","2.5228","47.70662",""
"ASM.XSTC","SAO MAI GROUP CORPORATION","41213560466","410.73695","89.2387","50","62.436","48.79032","50","100","60.27193",""
"ASP.XSTC","AN PHA PETROLEUM GROUP JOINT STOCK COMPANY","186638670","312.01538","56.8371","50","60.413","43.95161","42.285855","21.78001","63.60537",""
"AST.XSTC","TASECO AIR SERVICES JOINT STOCK COMPANY","5025258745","331.59257","53.8632","50","51.521","45.6","50","76.27012","54.33825",""
"BCE.XSTC","BINH DUONG CONSTRUCTION AND CIVIL ENGINEERING JOIN","776483854","322.90882","73.5595","50","60.843","45.16129","55.807485","28.84778","52.88228",""
"BCG.XSTC","BAMBOO CAPITAL JOINT STOCK COMPANY","5270514872","367.93956","69.0709","50","61.746","44.17671","50","87.74526","55.20069",""
"BFC.XSTC","BINH DIEN FERTILIZER JOINT STOCK COMPANY","7726321658","344.38606","70.9511","50","60.736","44.57831","50","54.73581","63.38484",""
"BHN.XSTC","HANOI BEER ALCOHOL AND BEVERAGE JOINT STOCK CORPOR","293015250","362.89819","63.9913","50","50.677","41.15226","50","100","57.07763",""
"BIC.XSTC","BIDV INSURANCE CORPORATION","2134255003","326.16968","54.3593","50","70.323","30.4","50","68.77334","52.31404",""
"BMC.XSTC","BINH DINH MINERALS JOINT STOCK COMPANY","123674946","296.23042","54.2622","50","61.657","37.90323","43.56765","28.47637","51.06692",""
"BMI.XSTC","BAOMINH INSURANCE CORPORATION","11067695568","410.24907","74.4818","50","74.346","41.6","50","100","69.82127",""
"BMP.XSTC","BINH MINH PLASTICS JOINT STOCK COMPANY","12933440730","317.82377","74.7714","50","63.195","42.4","50","29.69317","57.7642",""
"BSI.XSTC","BIDV SECURITIES JOINT STOCK COMPANY","1009229766","423.29041","79.5441","50","53.542","48.17814","66.44538","100","59.13541",""
"BTP.XSTC","BA RIA THERMAL POWER JOINT STOCK COMPANY","228260658","313.71071","72.9249","50","59.072","40.89069","30.169765","0","51.16265",""
"BVH.XSTC","BAO VIET HOLDINGS","55483781011","417.00555","59.4054","50","60.003","46.8","72.943445","100","54.91026",""
"BWE.XSTC","BINH DUONG WATER ENVIRONMENT JOINT STOCK COMPANY","11899286011","362.85189","74.5351","50","58.96","47.2","36.50539","50.03737","55.1302",""
"C32.XSTC","CONSTRUCTION INVESTMENT CORPORATION 3-2","5107691753","318.58254","74.3142","50","70.536","43.54839","41.589805","11.18794","52.17562",""
"C47.XSTC","CONSTRUCTION JOINT STOCK COMPANY 47","1272618960","346.6753","60.1693","50","52.576","38.70968","0","0","45.22032",""
"CCL.XSTC","CUU LONG PETRO URBAN DEVELOPMENT AND INVESTMENT CO","2606884179","297.12812","68.3291","50","52.687","44.17671","43.052075","16.24752","51.79194",""
"CHP.XSTC","CENTRAL HYDROPOWER JOINT STOCK COMPANY","413798201","367.26852","63.0266","50","63.781","39.91597","50","99.80625","50.7387",""
"CII.XSTC","HO CHI MINH CITY INFRASTRUCTURE INVESTMENT JOINT S","31587663625","359.06806","51.574","50","58.284","42","0","5.24946","51.9606",""
"CLC.XSTC","CAT LOI JOINT STOCK COMPANY","158708672","471.51192","64.6697","50","50.934","45.26749","97.21986","100","66.20101",""
"CLG.XSTC","COTEC INVESTMENT AND LAND-HOUSE DEVELOPMENT JOINT ","50369741","301.10303","31.0625","50","45.745","39.8374","5.822455","0","46.10304",""
"CMG.XSTC","CMC CORPORATION","1604747880","282.73633","61.8728","50","55.506","37.6","47.392635","15.84581","56.69699",""
"CMX.XSTC","CA MAU GROUP JOINT STOCK COMPANY","8527758766","340.55446","72.4206","50","51.16","43.14516","16.90858","2.93404","54.71182",""
"CNG.XSTC","CNG VIET NAM JOINT STOCK COMPANY","772922043","294.03584","55.2148","50","58.08","32.79352","25.16496","2.53228","45.74516",""
"CRC.XSTC","CTCP CREATE CAPITAL VN","3590556299","497.90373","75.9438","50","69.736","35.22267","100","100","67.00126",""
"CRE.XSTC","CTCP BDS THE KY","27732587663","473.76722","81.598","50","58.112","42.16867","87.231975","100","67.4246",""
"CSM.XSTC","THE SOUTHERN RUBBER INDUSTRY JOINT STOCK COMPANY","1499495427","382.98349","72.0721","50","64.646","42.97189","50","92.16495","61.12855",""
"CSV.XSTC","SOUTH BASIC CHEMICALS JOINT STOCK COMPANY","8012586579","389.52938","80.6835","50","49.401","44.35484","50","99.94541","65.14463",""
"CTD.XSTC","COTECCONS CONSTRUCTION JOINT STOCK COMPANY","74442129158","323.23901","69.3499","50","47.979","43.37349","16.54201","0","45.62064",""
"CTF.XSTC","CITY AUTO CORPORATION","4244675962","362.82449","62.7024","50","61.963","44.57831","0.831265","0","45.24331",""
"CTG.XSTC","VIET NAM JOINT STOCK COMMERCIAL BANK FOR INDUSTRY ","263781755109","480.63629","88.0647","50","55.942","50.8","87.212835","100","61.40392",""
"CTI.XSTC","CUONGTHUAN IDICO DEVELOPMENT INVESTMENT CORPORATIO","6851411432","278.36585","45.0611","50","52.989","33.46774","29.650565","5.24118","50.90796",""
"CTS.XSTC","VIETNAM BANK FOR INDUSTRY AND TRADE SECURITIES JOI","2260296023","381.51197","71.5033","50","62.98","40.16064","50","94.07583","62.7922",""
"CVT.XSTC","CMC JOINT STOCK COMPANY","25340245731","546.71981","98.379","50","67.335","48.3871","100","100","82.61871",""
"D2D.XSTC","INDUSTRIAL URBAN DEVELOPMENT JOINT STOCK COMPANY N","18013159783","333.69859","59.9712","50","59.118","46.18474","50","61.37171","57.05294",""
"DAG.XSTC","DONG A PLASTIC GROUP JOINT STOCK COMPANY","2226537699","309.69454","67.7038","50","68.242","39.51613","50","32.4405","51.79211",""
"DAH.XSTC","DONG A HOTEL GROUP JOINT STOCK COMPANY","3125420733","311.65986","43.9245","50","71.744","40.41667","12.112045","3.12595","26.67283",""
"DCL.XSTC","CUU LONG PHARMACEUTICAL JOINT STOCK COMPANY","850712938","342.7145","61.4773","50","72.563","39.35743","9.066895","0.1883","37.26226",""
"DCM.XSTC","PETROVIETNAM CA MAU FERTILIZER JOINT STOCK COMPANY","44643070313","439.21878","91.8358","50","70.331","49.6","60.50948","100","56.43302",""
"DGW.XSTC","DIGIWORLD CORP","25474601717","471.09499","99.8","50","56.406","50","75.908425","100","63.07214",""
"DHA.XSTC","HOA AN JOINT STOCK COMPANY","1325434984","385.34433","83.5572","50","59.118","45.74899","50","87.0485","59.87164",""
"DHC.XSTC","DONGHAI JOINT STOCK COMPANY OF BENTRE","23671605204","485.32397","88.0782","50","59.603","49.2","88.061785","100","62.3192",""
"DHG.XSTC","DHG PHARMACEUTICAL JOINT STOCK COMPANY","476332082","336.60321","72.4192","50","58.184","45.2","50","42.60309","68.19692",""
"DIG.XSTC","DEVELOPMENT INVESTMENT CONSTRUCTION JOINT STOCK CO","64345743293","496.88072","90.2363","50","69.821","50","86.4911","100","63.84122",""
"DLG.XSTC","DUC LONG GIA LAI GROUP JOINT STOCK COMPANY.","3649012429","343.55857","65.4178","50","55.445","42.91498","11.888665","8.24837","45.30975",""
"DMC.XSTC","DOMESCO MEDICAL IMPORT EXPORT JOINT STOCK CORPORAT","5583940918","267.90792","56.2214","50","55.858","40.6639","50","5.37726","59.78736",""
"DPG.XSTC","DAT PHUONG JOINT STOCK COMPANY","14271059288","363.10095","54.2238","50","54.897","46.98795","50","100","56.9922",""
"DPM.XSTC","PETROVIETNAM FERTILIZER AND CHEMICALS CORPORATION","48361272497","386.30326","81.5082","50","56.645","45.2","50","96.92527","56.02479",""
"DPR.XSTC","DONG PHU RUBBER JOINT STOCK COMPANY","1243267677","486.32162","71.4854","50","65.786","40.65041","100","100","58.39981",""
"DQC.XSTC","DIEN QUANG LAMP JOINT STOCK COMPANY","482987902","316.11816","65.0784","50","40.916","39.91935","7.230705","2.17786","32.48796",""
"DRC.XSTC","DANANG RUBBER JOINT STOCK COMPANY","21853300109","384.07116","64.7368","50","57.281","48.8","50","100","63.25336",""
"DRH.XSTC","DREAM HOUSE INVESTMENT CORPORATION","6909586445","380.61589","83.5728","50","65.748","49.19355","28.982015","33.70093","56.36464",""
"DSN.XSTC","DAM SEN WATER PARK CORPORATION","657300019","343.75717","52.3789","50","47.608","43.54839","50","99.9787","50.24318",""
"DTA.XSTC","DE TAM JOINT STOCK COMPANY.","85530603","278.67658","60.6458","50","55.747","43.9834","49.44515","13.26392","53.92676",""
"DVP.XSTC","DINH VU PORT INVESTMENT & DEVELOPMENT JOINT STOCK ","1234790079","401.44281","78.9411","50","56.305","44.97992","54.9895","100","61.23779",""
"EIB.XSTC","VIETNAM EXPORT IMPORT COMMERCIAL JOINT STOCK BANK","5753634780","460.09436","66.386","50","83.319","36.8","85.369485","92.51623","60.33416",""
"ELC.XSTC","ELECTRONICS COMMUNICATIONS TECHNOLOGY INVESTMENT D","1442911473","348.004","76.6768","50","68.44","42.57028","50","54.95278","55.36414",""
"EVE.XSTC","EVERPIA JOINT STOCK COMPANY","286867664","379.53802","67.0728","50","65.455","44.57831","50","98.50714","53.92477",""
"EVG.XSTC","EVERLAND INVESTMENT JOINT STOCK COMPANY","7319979637","477.96565","98.8755","50","74.858","44.97992","74.46851","99.74283","60.57238",""
"FCM.XSTC","FECON MINING JOINT STOCK COMPANY","57611036","329.06244","62.4509","50","56.973","41.32231","9.203715","0.70447","36.01919",""
"FCN.XSTC","FECON CORPORATION","16959314120","383.19933","76.3344","50","57.575","48.59438","50","92.94917","57.74638",""
"FIR.XSTC","CTCP DIA OC FIRST REAL","2259194397","356.927","56.2253","50","55.031","50.40323","10.13359","7.87109","57.66356",""
"FIT.XSTC","F.I.T GROUP JOINT STOCK COMPANY","4073959027","379.9518","84.7928","50","70.219","43.31984","10.219695","0","52.05955",""
"FLC.XSTC","FLC GROUP JOINT STOCK COMPANY","79163952068","449.32923","66.2891","50","50.68","46","89.29838","100","57.76337",""
"FMC.XSTC","SAO TA FOODS JOINT STOCK COMPANY","11595500149","380.96243","79.443","50","62.873","46.58635","50","82.97548","59.0846",""
"FPT.XSTC","FPT CORPORATION","114477973878","426.20177","66.399","50","57.463","52","69.819595","100","60.70058",""
"FRT.XSTC","FPT DIGITAL RETAIL JOINT STOCK COMPANY","11381583962","336.10917","63.4142","50","55.144","44.57831","12.465635","0.18058","47.72335",""
